part_id,feature_id,feature_type,face,datum,x,y,diameter_or_width,depth,through,hardware_dependency,status,recipe,notes
CAB-SIDE-001L-R1,CF-0001,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 1308.100 x 596.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CabinetLeftSide,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-SIDE-001L-R1,CF-0002,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-SIDE-001L-R1; YZ; inside face; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-SIDE-001L-R1,CF-0003,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0004,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0005,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0006,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-008,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0007,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-020,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001L-R1,CF-0008,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-021,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0009,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 1308.100 x 596.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CabinetRightSide,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-SIDE-001R-R1,CF-0010,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-SIDE-001R-R1; YZ; inside face; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-SIDE-001R-R1,CF-0011,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0012,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0013,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0014,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-008,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0015,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-020,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-SIDE-001R-R1,CF-0016,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-021,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0017,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 18.000 x 400.050,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CapturedFrontPanelV20,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-FRONT-001-R1,CF-0018,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-FRONT-001-R1; XZ; inside face; up arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-FRONT-001-R1,CF-0019,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0020,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0021,POCKET,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-019,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
